143.60  37.40   -9.87170 
143.00  36.60   -9.89154 
145.40  41.60   -9.91306 
142.00  33.40   -10.04020 
144.20  40.60   -10.10000 
142.00  32.60   -10.10000 
142.20  35.80   -10.12470 
144.00  39.00   -10.20000 
142.20  31.20   -10.20000 
142.20  31.00   -10.20000 
142.00  34.80   -10.24990 
142.00  33.00   -10.27010 
144.00  39.20   -10.30000 
142.00  34.60   -10.30090 
145.00  41.40   -10.31410 
144.60  41.20   -10.31650 
142.80  36.40   -10.36430 
144.00  39.40   -10.40000 
143.80  38.00   -10.41740 
142.00  33.20   -10.59130 
144.00  39.60   -10.60000 
146.40  42.20   -10.61360 
144.20  40.80   -10.70000 
146.80  42.40   -10.72020 
142.00  35.00   -10.83970 
143.40  37.20   -10.89650 
146.00  42.00   -10.92740 
145.60  41.80   -10.94810 
144.00  39.80   -11.00000 
143.80  38.20   -11.10000 
142.40  30.00   -11.14540 
143.60  37.60   -11.19790 
144.00  40.00   -11.20000 
144.00  40.20   -11.40000 
144.20  41.00   -11.50000 
142.00  35.20   -11.51660 
142.20  30.80   -11.62350 
143.20  37.00   -11.63380 
146.60  42.40   -11.69410 
144.00  40.40   -11.70000 
143.80  38.40   -11.70000 
145.20  41.60   -11.76720 
146.20  42.20   -11.80160 
144.80  41.40   -11.92260 
142.00  35.40   -11.92890 
147.00  42.60   -11.94630 
142.40  36.20   -12.07160 
143.00  36.80   -12.09560 
144.00  40.60   -12.10000 
143.80  38.60   -12.10000 
142.00  32.40   -12.20000 
145.80  42.00   -12.20010 
143.60  37.80   -12.33920 
144.40  41.20   -12.36870 
142.20  36.00   -12.42100 
142.80  36.60   -12.42900 
143.80  38.80   -12.50000 
142.00  32.20   -12.50000 
142.00  32.00   -12.50000 
142.60  36.40   -12.50430 
143.40  37.40   -12.53540 
144.00  40.80   -12.60000 
145.40  41.80   -12.70620 
146.80  42.60   -12.71890 
141.80  34.00   -12.76510 
146.40  42.40   -12.79700 
142.00  31.80   -12.80000 
142.20  30.60   -12.80200 
143.80  39.00   -12.90000 
